import time: self [us] | cumulative | imported package
import time:       566 |       6098 |             numpy._core.multiarray
import time:       239 |        239 |             numpy._core.umath
import time:       160 |        160 |               numpy._core._string_helpers
import time:       280 |        280 |               numpy._core._type_aliases
import time:       202 |        202 |               numpy._core._dtype
import time:       337 |        978 |             numpy._core.numerictypes
import time:       332 |        332 |                       _compat_pickle
import time:        81 |         81 |                       _pickle
import time:       844 |       1256 |                     pickle
import time:       263 |        263 |                     numpy._core._ufunc_config
import time:       256 |       1774 |                   numpy._core._methods
import time:       694 |       2467 |                 numpy._core.fromnumeric
import time:       323 |       2790 |               numpy._core.shape_base
import time:       527 |        527 |               numpy._core.arrayprint
import time:       203 |        203 |               numpy._core._asarray
import time:       686 |       4205 |             numpy._core.numeric
import time:       348 |        348 |             numpy._core.records
import time:       252 |        252 |             numpy._core.memmap
import time:       244 |        244 |             numpy._core.function_base
import time:       498 |        498 |             numpy._core._machar
import time:       334 |        334 |             numpy._core.getlimits
import time:       322 |        322 |             numpy._core.einsumfunc
import time:       761 |        761 |             numpy._core._add_newdocs
import time:       365 |        365 |             numpy._core._add_newdocs_scalars
import time:       182 |        182 |             numpy._core._dtype_ctypes
import time:       883 |        883 |                 sysconfig
import time:      1038 |       1038 |                 _ctypes
import time:       517 |        517 |                 ctypes._endian
import time:       942 |       3378 |               ctypes
import time:       566 |       3943 |             numpy._core._internal
import time:       307 |        307 |             numpy._pytesttester
import time:       712 |      19782 |           numpy._core
import time:        44 |      19826 |         numpy._core._multiarray_umath
import time:       288 |      20114 |       numpy.__config__
import time:       158 |        158 |           numpy.lib._array_utils_impl
import time:       299 |        456 |         numpy.lib.array_utils
import time:       254 |        254 |         numpy.lib.introspect
import time:       264 |        264 |         numpy.lib.mixins
import time:       531 |        531 |                   _wmi
import time:       749 |       1280 |                 platform
import time:       278 |       1557 |               numpy.lib._utils_impl
import time:       311 |       1868 |             numpy.lib.format
import time:       315 |        315 |             numpy.lib._datasource
import time:       366 |        366 |             numpy.lib._iotools
import time:       584 |       3132 |           numpy.lib._npyio_impl
import time:       168 |       3299 |         numpy.lib.npyio
import time:      1747 |       1747 |               numpy.lib._ufunclike_impl
import time:       300 |       2047 |             numpy.lib._type_check_impl
import time:       263 |       2309 |           numpy.lib._scimath_impl
import time:       171 |       2480 |         numpy.lib.scimath
import time:       257 |        257 |           numpy.lib._stride_tricks_impl
import time:       221 |        478 |         numpy.lib.stride_tricks
import time:       226 |        226 |                 numpy.linalg.linalg
import time:       355 |        355 |                   numpy.lib._twodim_base_impl
import time:       441 |        441 |                   numpy.linalg._umath_linalg
import time:       402 |        402 |                     numpy._typing._nested_sequence
import time:       235 |        235 |                     numpy._typing._nbit
import time:       561 |        561 |                     numpy._typing._char_codes
import time:       211 |        211 |                     numpy._typing._scalars
import time:       159 |        159 |                     numpy._typing._shape
import time:      2326 |       2326 |                     numpy._typing._dtype_like
import time:      1317 |       1317 |                     numpy._typing._array_like
import time:       499 |       5707 |                   numpy._typing
import time:      1139 |       7640 |                 numpy.linalg._linalg
import time:       257 |       8123 |               numpy.linalg
import time:       385 |       8507 |             numpy.matrixlib.defmatrix
import time:       201 |       8708 |           numpy.matrixlib
import time:       305 |        305 |             numpy.lib._histograms_impl
import time:       856 |       1161 |           numpy.lib._function_base_impl
import time:       399 |      10267 |         numpy.lib._index_tricks_impl
import time:       536 |        536 |         numpy.lib._nanfunctions_impl
import time:       405 |        405 |         numpy.lib._shape_base_impl
import time:       633 |        633 |         numpy.lib._arraysetops_impl
import time:       536 |        536 |         numpy.lib._polynomial_impl
import time:       231 |        231 |         numpy.lib._arrayterator_impl
import time:       262 |        262 |         numpy.lib._arraypad_impl
import time:       186 |        186 |         numpy.lib._version
import time:       668 |      20950 |       numpy.lib
import time:       213 |        213 |       numpy._array_api_info
import time:      1352 |      43897 |     numpy
import time:       342 |        342 |       pytz.exceptions
import time:       388 |        388 |       pytz.lazy
import time:       305 |        305 |       pytz.tzinfo
import time:       214 |        214 |       pytz.tzfile
import time:       665 |       1913 |     pytz
import time:       247 |        247 |       dateutil._version
import time:       347 |        593 |     dateutil
import time:        35 |         35 |         _sysconfig
import time:      1172 |       1207 |       pandas.compat._constants
import time:       228 |        228 |       pandas.compat.compressors
import time:       157 |        157 |           pandas.util
import time:      1271 |       1427 |         pandas.util.version
import time:       355 |       1782 |       pandas.compat.numpy
import time:        46 |         46 |           gc
import time:       361 |        361 |           pyarrow._generated_version
import time:       855 |        855 |               _decimal
import time:       401 |       1255 |             decimal
import time:       212 |        212 |             cloudpickle
import time:       262 |        262 |             pyarrow.util
import time:       527 |        527 |               _queue
import time:       421 |        948 |             queue
import time:      9254 |      11929 |           pyarrow.lib
import time:       590 |        590 |           pyarrow.ipc
import time:       314 |        314 |           pyarrow.types
import time:       560 |      13798 |         pyarrow
import time:       261 |      14059 |       pandas.compat.pyarrow
import time:       345 |      17619 |     pandas.compat
import time:       227 |        227 |                   backports_abc
import time:       575 |        801 |                 numpy.random._common
import time:       274 |        274 |                   hmac
import time:       260 |        534 |                 secrets
import time:       529 |       1863 |               numpy.random.bit_generator
import time:       344 |        344 |                 numpy.random._bounded_integers
import time:       367 |        367 |                 numpy.random._mt19937
import time:       809 |       1519 |               numpy.random.mtrand
import time:       310 |        310 |               numpy.random._philox
import time:       291 |        291 |               numpy.random._pcg64
import time:       248 |        248 |               numpy.random._sfc64
import time:       619 |        619 |               numpy.random._generator
import time:       331 |       5179 |             numpy.random._pickle
import time:       314 |       5493 |           numpy.random
import time:      1942 |       7434 |         pandas._typing
import time:       253 |        253 |         pandas.util._exceptions
import time:       777 |       8463 |       pandas._config.config
import time:       291 |        291 |       pandas._config.dates
import time:       192 |        192 |       pandas._config.display
import time:       260 |       9204 |     pandas._config
import time:       183 |        183 |       pandas.core
import time:       694 |        877 |     pandas.core.config_init
import time:       433 |        433 |         pandas._libs.pandas_parser
import time:       248 |        248 |         pandas._libs.pandas_datetime
import time:       306 |        306 |                     pandas._libs.tslibs.ccalendar
import time:       355 |        355 |                     pandas._libs.tslibs.np_datetime
import time:       861 |       1521 |                   pandas._libs.tslibs.dtypes
import time:       309 |        309 |                     pandas._libs.tslibs.base
import time:       412 |        412 |                         pandas._libs.tslibs.nattype
import time:       233 |        233 |                             pandas.compat._optional
import time:       364 |        364 |                               zoneinfo._tzpath
import time:       255 |        255 |                               zoneinfo._common
import time:       479 |        479 |                               _zoneinfo
import time:       351 |       1448 |                             zoneinfo
import time:       964 |        964 |                                 six
import time:        35 |         35 |                                 six.moves
import time:       299 |        299 |                                 dateutil.tz._common
import time:       226 |        226 |                                 dateutil.tz._factories
import time:       508 |        508 |                                   ctypes.wintypes
import time:       352 |        859 |                                 dateutil.tz.win
import time:       928 |       3309 |                               dateutil.tz.tz
import time:       227 |       3536 |                             dateutil.tz
import time:      1228 |       6442 |                           pandas._libs.tslibs.timezones
import time:       715 |        715 |                               calendar
import time:       897 |       1611 |                             _strptime
import time:       217 |        217 |                             pandas._config.localization
import time:       496 |       2324 |                           pandas._libs.tslibs.fields
import time:       829 |       9595 |                         pandas._libs.tslibs.timedeltas
import time:       444 |        444 |                         pandas._libs.tslibs.tzconversion
import time:       191 |        191 |                         backports_abc
import time:       783 |      11424 |                       pandas._libs.tslibs.timestamps
import time:       173 |        173 |                       backports_abc
import time:       277 |        277 |                       pandas._libs.properties
import time:      1060 |      12932 |                     pandas._libs.tslibs.offsets
import time:       179 |        179 |                       backports_abc
import time:       181 |        181 |                           dateutil._common
import time:      1109 |       1289 |                         dateutil.parser._parser
import time:       288 |        288 |                         dateutil.parser.isoparser
import time:       252 |       1828 |                       dateutil.parser
import time:       794 |        794 |                       pandas._libs.tslibs.strptime
import time:       708 |       3508 |                     pandas._libs.tslibs.parsing
import time:       557 |      17305 |                   pandas._libs.tslibs.conversion
import time:       562 |        562 |                   pandas._libs.tslibs.period
